#;Time;Function;Direction;Status;Data;Data (chars);Data length;Req. length;Port;Comments;
59;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;52 ;"R";1;;COM1;;
60;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
61;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;65 ;"e";1;;COM1;;
62;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
63;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;76 ;"v";1;;COM1;;
64;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
65;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;20 ;" ";1;;COM1;;
66;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
67;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;31 ;"1";1;;COM1;;
68;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
69;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
70;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
71;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
72;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
73;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
74;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
75;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
76;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
77;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
78;22/06/2019 07:29:14;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
79;22/06/2019 07:29:14;IRP_MJ_READ;UP;STATUS_SUCCESS;3e ;">";1;;COM1;;
80;22/06/2019 07:29:15;IRP_MJ_WRITE;DOWN;;6d 6f 64 65 6c 0d ;"model.";6;6;COM1;;
81;22/06/2019 07:29:15;IRP_MJ_WRITE;UP;STATUS_SUCCESS;6d 6f 64 65 6c 0d ;"model.";6;;COM1;;
82;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
83;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;6d ;"m";1;;COM1;;
84;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
85;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;6f ;"o";1;;COM1;;
86;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
87;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;64 ;"d";1;;COM1;;
88;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
89;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;65 ;"e";1;;COM1;;
90;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
91;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;6c ;"l";1;;COM1;;
92;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
93;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
94;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
95;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
96;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
97;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;55 ;"U";1;;COM1;;
98;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
99;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;6c ;"l";1;;COM1;;
100;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
101;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;74 ;"t";1;;COM1;;
102;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
103;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;69 ;"i";1;;COM1;;
104;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
105;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;6d ;"m";1;;COM1;;
106;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
107;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;61 ;"a";1;;COM1;;
108;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
109;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;74 ;"t";1;;COM1;;
110;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
111;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;65 ;"e";1;;COM1;;
112;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
113;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;42 ;"B";1;;COM1;;
114;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
115;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;6f ;"o";1;;COM1;;
116;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
117;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;78 ;"x";1;;COM1;;
118;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
119;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;20 ;" ";1;;COM1;;
120;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
121;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;31 ;"1";1;;COM1;;
122;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
123;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
124;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
125;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
126;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
127;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;30 ;"0";1;;COM1;;
128;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
129;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
130;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
131;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
132;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
133;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;3e ;">";1;;COM1;;
134;22/06/2019 07:29:15;IRP_MJ_WRITE;DOWN;;63 64 0d ;"cd.";3;3;COM1;;
135;22/06/2019 07:29:15;IRP_MJ_WRITE;UP;STATUS_SUCCESS;63 64 0d ;"cd.";3;;COM1;;
136;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
137;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;63 ;"c";1;;COM1;;
138;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
139;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;64 ;"d";1;;COM1;;
140;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
141;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0d ;".";1;;COM1;;
142;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
143;22/06/2019 07:29:15;IRP_MJ_READ;UP;STATUS_SUCCESS;0a ;".";1;;COM1;;
144;22/06/2019 07:29:15;IRP_MJ_READ;DOWN;;;"";;1;COM1;;
